,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
86,e33699a6fd9e692b2332b3c10642d49af617234e,services/core/java/com/android/server/display/DisplayPowerController.java,[],7,3,"[(951, 952, 2), (1411, 1411, 1), (2384, 2387, 4)]"
87,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/screenshot/SaveImageInBackgroundTask.java,[],6,2,"[(136, 137, 2), (162, 165, 4)]"
88,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/doze/DozeSensors.java,[],3,1,"[(914, 916, 3)]"
89,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/theme/ThemeOverlayController.java,[],4,1,"[(380, 383, 4)]"
90,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/keyguard/KeyguardClockSwitch.java,[],1,1,"[(10, 10, 1)]"
91,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/tuner/TunerActivity.java,[],9,1,"[(69, 77, 9)]"
92,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/keyguard/KeyguardPINView.java,[],3,1,"[(62, 64, 3)]"
93,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/qs/customize/QSCustomizer.java,[],5,1,"[(80, 84, 5)]"
94,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarKeyguardViewManager.java,[],140,18,"[(405, 456, 52), (493, 496, 4), (536, 541, 6), (558, 562, 5), (615, 618, 4), (623, 629, 7), (731, 734, 4), (844, 850, 7), (1117, 1127, 11), (1292, 1295, 4), (1311, 1314, 4), (1360, 1363, 4), (1447, 1450, 4), (1490, 1494, 5), (1501, 1505, 5), (1512, 1516, 5), (1524, 1527, 4), (1535, 1539, 5)]"
95,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/tests/src/com/android/systemui/screenshot/ImageExporterTest.java,[],1,1,"[(100, 100, 1)]"
96,e33699a6fd9e692b2332b3c10642d49af617234e,services/core/java/com/android/server/power/PowerGroup.java,[],13,1,"[(305, 317, 13)]"
97,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/plugin/src/com/android/systemui/plugins/NavigationEdgeBackPlugin.java,[],10,1,"[(73, 82, 10)]"
98,e33699a6fd9e692b2332b3c10642d49af617234e,core/java/android/hardware/Camera.java,[],4,1,"[(334, 337, 4)]"
99,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/statusbar/policy/SecurityControllerImpl.java,[],5,3,"[(19, 20, 2), (91, 91, 1), (122, 123, 2)]"
100,e33699a6fd9e692b2332b3c10642d49af617234e,services/appwidget/java/com/android/server/appwidget/AppWidgetXmlUtil.java,[],1,1,"[(96, 96, 1)]"
101,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/statusbar/NotificationMediaManager.java,[],8,1,"[(95, 102, 8)]"
102,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/keyguard/KeyguardSecurityView.java,[],0,1,"[(0, 0, 0)]"
103,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/CentralSurfacesImplTest.java,[],3,2,"[(289, 289, 1), (480, 481, 2)]"
104,e33699a6fd9e692b2332b3c10642d49af617234e,services/core/java/com/android/server/power/PowerManagerService.java,[],49,4,"[(615, 623, 9), (1558, 1582, 25), (2116, 2124, 9), (4660, 4665, 6)]"
105,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/statusbar/phone/fragment/CollapsedStatusBarFragment.java,[],3,1,"[(565, 567, 3)]"
106,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/volume/VolumeDialogImpl.java,[],2,1,"[(316, 317, 2)]"
107,e33699a6fd9e692b2332b3c10642d49af617234e,core/java/android/app/StatusBarManager.java,[],1,1,"[(233, 233, 1)]"
108,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/qs/QSPanelControllerBase.java,[],0,1,"[(0, 0, 0)]"
109,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/statusbar/phone/CentralSurfacesImpl.java,[],190,7,"[(75, 75, 1), (242, 242, 1), (280, 288, 9), (520, 520, 1), (800, 801, 2), (2135, 2279, 145), (4408, 4438, 31)]"
110,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationIconContainer.java,[],5,1,"[(143, 147, 5)]"
111,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/qs/QSPanelController.java,[],3,1,"[(34, 36, 3)]"
112,e33699a6fd9e692b2332b3c10642d49af617234e,services/core/java/com/android/server/statusbar/StatusBarManagerService.java,[],7,1,"[(2158, 2164, 7)]"
113,e33699a6fd9e692b2332b3c10642d49af617234e,services/core/java/com/android/server/display/AutomaticBrightnessController.java,[],1,1,"[(390, 390, 1)]"
114,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/shade/NotificationPanelViewController.java,[],227,7,"[(51, 51, 1), (77, 77, 1), (298, 319, 22), (358, 360, 3), (797, 815, 19), (4216, 4394, 179), (4830, 4831, 2)]"
115,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/statusbar/policy/Clock.java,[],21,3,"[(19, 19, 1), (52, 55, 4), (243, 258, 16)]"
116,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/tests/src/com/android/systemui/volume/VolumeDialogImplTest.java,[],2,1,"[(111, 112, 2)]"
117,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/statusbar/phone/ScrimState.java,[],7,2,"[(122, 122, 1), (152, 157, 6)]"
118,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarController.java,[],2,2,"[(0, 0, 0), (143, 144, 2)]"
119,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarView.java,[],4,1,"[(50, 53, 4)]"
120,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/screenshot/ScreenshotView.java,[],2,1,"[(783, 784, 2)]"
121,e33699a6fd9e692b2332b3c10642d49af617234e,services/core/java/com/android/server/media/MediaSessionRecord.java,[],2,2,"[(939, 940, 2), (0, 0, 0)]"
122,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/screenshot/LongScreenshotActivity.java,[],1,1,"[(400, 400, 1)]"
123,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/navigationbar/gestural/EdgeBackGestureHandler.java,[],7,3,"[(22, 23, 2), (62, 63, 2), (111, 113, 3)]"
124,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/screenshot/ImageExporter.java,[],8,4,"[(150, 151, 2), (164, 167, 4), (240, 240, 1), (247, 247, 1)]"
125,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/statusbar/phone/HeadsUpAppearanceController.java,[],1,1,"[(27, 27, 1)]"
126,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/volume/dagger/VolumeModule.java,[],4,2,"[(59, 60, 2), (70, 71, 2)]"
127,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/qs/QuickStatusBarHeader.java,[],3,1,"[(300, 302, 3)]"
128,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/screenshot/ScreenshotController.java,[],57,3,"[(448, 459, 12), (725, 766, 42), (831, 833, 3)]"
